,district,name,538_democrat_wins,538_diff_from_even,cook_name,cook_pvi_rating,cook_category
340,PA-17,Conor Lamb,92.96,42.959999999999994,Keith Rothfus,-3.0,LEAN_DEMOCRATIC
255,NJ-04,Chris Smith,6.66,43.34,Christopher Smith,-8.0,SOLID_REPUBLICAN
366,TX-06,Open seat,6.64,43.36,Open seat,-9.0,SOLID_REPUBLICAN
331,PA-08,Matt Cartwright,93.52,43.519999999999996,Matthew Cartwright,-1.0,LIKELY_DEMOCRATIC
307,OH-10,Michael Turner,6.42,43.58,Michael Turner,-4.0,LIKELY_REPUBLICAN
433,WV-03,Open seat,6.03,43.97,Open seat,-23.0,LEAN_REPUBLICAN
199,MI-02,Bill Huizenga,5.88,44.12,Bill Huizenga,-9.0,SOLID_REPUBLICAN
12,AZ-01,Tom O’Halleran,94.16,44.16,Tom O'Halleran,-2.0,LIKELY_DEMOCRATIC
299,OH-02,Brad Wenstrup,5.5,44.5,Brad Wenstrup,-9.0,SOLID_REPUBLICAN
237,NC-05,Virginia Foxx,5.19,44.81,Virginia Foxx,-10.0,SOLID_REPUBLICAN
313,OH-16,Open seat,4.99,45.01,Open seat,-8.0,SOLID_REPUBLICAN
293,NY-23,Tom Reed,4.86,45.14,Tom Reed,-6.0,SOLID_REPUBLICAN
339,PA-16,Mike Kelly,4.76,45.24,Mike Kelly,-8.0,LEAN_REPUBLICAN
119,GA-06,Karen C. Handel,4.62,45.38,Karen Handel,,LEAN_REPUBLICAN
301,OH-04,Jim Jordan,4.48,45.519999999999996,Jim Jordan,-14.0,SOLID_REPUBLICAN
384,TX-24,Kenny Marchant,4.37,45.63,Kenny Marchant,-9.0,SOLID_REPUBLICAN
85,CT-05,Open seat,96.33,46.33,Open seat,2.0,SOLID_DEMOCRATIC
432,WV-02,Alex Mooney,3.65,46.35,Alex Mooney,-17.0,SOLID_REPUBLICAN
77,CO-04,Ken Buck,3.63,46.37,Open seat,-13.0,SOLID_REPUBLICAN
131,IA-02,David Loebsack,96.99,46.989999999999995,David Loebsack,1.0,SOLID_DEMOCRATIC
113,FL-27,Open seat,97.11,47.11,Open seat,5.0,LEAN_DEMOCRATIC
78,CO-05,Doug Lamborn,2.79,47.21,Doug Lamborn,-14.0,SOLID_REPUBLICAN
44,CA-24,Salud Carbajal,97.27,47.269999999999996,Salud Carbajal,7.0,SOLID_DEMOCRATIC
312,OH-15,Steve Stivers,2.63,47.37,Steve Stivers,-7.0,SOLID_REPUBLICAN
370,TX-10,Michael T. McCaul,2.62,47.38,Michael McCaul,-9.0,SOLID_REPUBLICAN
93,FL-07,Stephanie Murphy,97.43,47.43000000000001,Stephanie Murphy,0.0,LIKELY_DEMOCRATIC
398,UT-02,Chris Stewart,2.53,47.47,Chris Stewart,-16.0,SOLID_REPUBLICAN
329,PA-06,Open seat,97.6,47.599999999999994,Open seat,2.0,LIKELY_DEMOCRATIC
